sacarato de hidróxido férrico,20 mg/mL,solução injetável (frasco com 5 mL)
,,
,,
secuquinumabe,150 mg/mL,pó para solução injetável
sirolimo,1 mg,comprimido
sirolimo,2 mg,comprimido
sofosbuvir,400 mg,comprimido
somatropina,4 UI,pó para solução injetável (frasco-ampola)
,,
,,
somatropina,12 UI,pó para solução injetável (frasco-ampola)
,,
,,
somatropina,15 UI,pó para solução injetável (frasco-ampola)
,,
,,
somatropina,16 UI,pó para solução injetável (frasco-ampola)
,,
,,
somatropina,18 UI,pó para solução injetável (frasco-ampola)
,,
,,
somatropina,24 UI,pó para solução injetável (frasco-ampola)
,,
,,
somatropina,30 UI,pó para solução injetável (frasco-ampola)
,,
,,
sulfassalazina,500 mg,comprimido
sulfato de hidroxicloroquina,400 mg,comprimido
sulfato de morfina,10 mg/mL,solução injetável (ampola com 1 mL)
,,
,,
sulfato de morfina,10 mg/mL,solução oral (frasco com 60 mL)
,,
,,
sulfato de morfina,10 mg,comprimido
sulfato de morfina,30 mg,comprimido
sulfato de morfina,,
sulfato de morfina,30 mg,cápsula de liberação prolongada
,,
,,
sulfato de morfina,60 mg,cápsula de liberação prolongada
,,
,,
sulfato de morfina,100 mg,cápsula de liberação prolongada
