everolimo,"0,5 mg",comprimido
everolimo,"0,75 mg",comprimido
everolimo,1 mg,comprimido
fenofibrato,200 mg,cápsula
fenofibrato,250 mg,cápsula de liberação retardada
,,
,,
filgrastim,300 mcg,solução injetável
fingolimode,"0,5 mg",cápsula
fluvastatina,20 mg,cápsula
fluvastatina,40 mg,cápsula
fosfato de codeína,3 mg/mL,solução oral (frasco com 120 mL)
,,
,,
fosfato de codeína,30 mg,comprimido
fosfato de codeína,60 mg,comprimido
fosfato de codeína,30 mg/mL,solução injetável (ampola com 2 mL)
,,
,,
fumarato de dimetila,120 mg,cápsula
fumarato de dimetila,240 mg,cápsula
fumarato de formoterol,12 mcg,cápsula para inalação
fumarato de formoterol,12 mcg,pó para inalação
fumarato de formoterol + budesonida,6 mcg + 200 mcg,cápsula para inalação
fumarato de formoterol + budesonida,6 mcg + 200 mcg,pó para inalação
fumarato de formoterol + budesonida,12 mcg + 400 mcg,cápsula para inalação
fumarato de formoterol + budesonida,12 mcg + 400 mcg,pó para inalação
fumarato de tenofovir desoproxila,300 mg,comprimido
gabapentina,300 mg,cápsula
gabapentina,400 mg,cápsula
galsulfase,5 mg,solução injetável
genfibrozila,600 mg,comprimido
genfibrozila,900 mg,comprimido
golimumabe,50 mg,solução injetável
