insulina análoga de ação rápida,100 UI/ml,solução injetável com sistema de aplicação
,,
,,
isotretinoína,10 mg,cápsula mole
isotretinoína,20 mg,cápsula mole
lamivudina,10 mg/mL,solução oral (frasco de 240 mL)
lamivudina,150 mg,comprimido
lamotrigina,25 mg,comprimido
lamotrigina,50 mg,comprimido
lamotrigina,100 mg,comprimido
laronidase,"0,58 mg/mL",solução injetável
latanoprosta,"0,05 mg/mL","solução oftálmica (frasco com 2,5 mL)"
,,
,,
leflunomida,20 mg,comprimido
levetiracetam,250 mg,comprimido
levetiracetam,750 mg,comprimido
levetiracetam,100 mg/ml,solução oral
lovastatina,10 mg,comprimido
lovastatina,20 mg,comprimido
lovastatina,40 mg,comprimido
maleato de timolol,"5 mg/mL (0,5%)",solução oftálmica (frasco com 5 mL)
,,
,,
memantina,10 mg,comprimido
