abatacepte,250 mg,pó para solução injetável
abatacepte,125 mg/mL,solução injetável
acetato de ciproterona,50 mg,comprimido
acetato de desmopressina,"0,1 mg/mL","solução nasal (frasco com 2,5 mL)"
acetato de desmopressina,"0,1 mg",comprimido
acetato de desmopressina,"0,2 mg",comprimido
acetato de fludrocortisona,"0,1 mg",comprimido
acetato de glatirâmer,20 mg,solução injetável
acetato de glatirâmer,40 mg,solução injetável
acetato de gosserrelina,"3,6 mg",implante subcutâneo
acetato de gosserrelina,"10,8 mg",implante subcutâneo
acetato de lanreotida,60 mg,solução injetável
acetato de lanreotida,90 mg,solução injetável
acetato de lanreotida,120 mg,solução injetável
acetato de leuprorrelina,"3,75 mg",pó para suspensão injetável
acetato de leuprorrelina,"11,25 mg",pó para suspensão injetável
abatacepte,250 mg,pó para solução injetável
abatacepte,125 mg/mL,solução injetável
acetato de ciproterona,50 mg,comprimido
acetato de desmopressina,"0,1 mg/mL","solução nasal (frasco com 2,5 mL)"
acetato de desmopressina,"0,1 mg",comprimido
acetato de desmopressina,"0,2 mg",comprimido
acetato de fludrocortisona,"0,1 mg",comprimido
acetato de glatirâmer,20 mg,solução injetável
acetato de glatirâmer,40 mg,solução injetável
acetato de gosserrelina,"3,6 mg",implante subcutâneo
acetato de gosserrelina,"10,8 mg",implante subcutâneo
acetato de octreotida,10 mg,pó para suspensão injetável
acetato de octreotida,20 mg,pó para suspensão injetável
acetato de octreotida,30 mg,pó para suspensão injetável
acetazolamida,250 mg,comprimido
ácido nicotínico,250 mg,comprimido de liberação prolongada
ácido nicotínico,500 mg,comprimido de liberação prolongada
ácido nicotínico,750 mg,comprimido de liberação prolongada
ácido ursodesoxicólico,50 mg,comprimido
ácido ursodesoxicólico,150 mg,comprimido
ácido ursodesoxicólico,300 mg,comprimido
acitretina,10 mg,cápsula
acitretina,25 mg,cápsula
adalimumabe,40 mg,solução injetável
alfacalcidol,"0,25 mcg",cápsula mole
alfacalcidol,1 mcg,cápsula mole
alfadornase,1 mg/mL,"solução para inalação (ampola com 2,5 mL)"
alfaelosulfase,5 mg,solução injetável
alfaepoetina,1.000 UI,solução injetável
alfaepoetina,2.000 UI,solução injetável
alfaepoetina,3.000 UI,pó para solução injetável
alfaepoetina,3.000 UI,solução injetável
alfaepoetina,4.000 UI,pó para solução injetável
alfaepoetina,4.000 UI,solução injetável
alfaepoetina,10.000 UI,pó para solução injetável
alfaepoetina,10.000 UI,solução injetável
alfainterferona 2b,3.000.000 UI,pó para solução injetável
alfainterferona 2b,5.000.000 UI,pó para solução injetável
alfainterferona 2b,10.000.000 UI,pó para solução injetável
alfapeginterferona 2a,180 mcg,solução injetável
alfapeginterferona 2b,"118,4 mcg (80 mcg/0,5 mL após reconstituição)",pó para solução injetável
alfapeginterferona 2b,"148 mcg (100 mcg/0,5 mL após reconstituição)",pó para solução injetável
alfapeginterferona 2b,"177,6 mcg (120 mcg/0,5 mL após reconstituição)",pó para solução injetável
alfataliglicerase,200 U,pó para solução injetável
alfavelaglicerase,200 U,pó para solução injetável
alfavelaglicerase,400 U,pó para solução injetável
ambrisentana,5 mg,comprimido
ambrisentana,10 mg,comprimido
atorvastatina cálcica,10 mg,comprimido
atorvastatina cálcica,20 mg,comprimido
atorvastatina cálcica,40 mg,comprimido
atorvastatina cálcica,80 mg,comprimido
azatioprina,50 mg,comprimido
betainterferona 1a,22 mcg (6.000.000 UI),comprimido
betainterferona 1a,30 mcg (6.000.000 UI),solução injetável
betainterferona 1a,44 mcg (12.000.000 UI),solução injetável
betainterferona 1b,300 mcg (9.600.000 UI),pó para solução injetável
bezafibrato,200 mg,comprimido
bezafibrato,400 mg,comprimido de liberação prolongada
bimatoprosta,"0,3 mg/mL (0,03%)",solução oftálmica (frasco com 3 mL)
biotina,"2,5 mg",cápsula
bosentana,"62,5 mg",comprimido
bosentana,125 mg,comprimido
brinzolamida,10 mg/mL,suspensão oftálmica (frasco com 5 mL)
brometo de piridostigmina,60 mg,comprimido
bromidrato de fenoterol,100 mcg/dose,solução aerossol (frasco com 200 doses)
bromidrato de galantamina,8 mg,cápsula de liberação prolongada
bromidrato de galantamina,16 mg,cápsula de liberação prolongada
bromidrato de galantamina,24 mg,cápsula de liberação prolongada
budesonida,200 mcg,aerossol bucal
budesonida,200 mcg,cápsula para inalação
budesonida,200 mcg,pó para inalação
